id,price_range
4,0
8,0
14,0
16,0
19,0
23,0
26,0
29,0
34,0
43,0
54,0
74,0
77,0
80,0
83,0
89,0
99,0
117,0
126,0
133,0
134,0
136,0
137,0
140,0
152,0
153,0
158,0
159,0
163,0
166,0
167,0
169,0
173,0
175,0
180,0
185,0
187,0
190,0
194,0
196,0
209,0
218,0
219,0
227,0
229,0
236,0
241,0
242,0
243,0
244,0
249,0
255,0
258,0
259,0
261,0
266,0
270,0
271,0
281,0
283,0
287,0
288,0
292,0
294,0
299,0
302,0
303,0
307,0
311,0
314,0
321,0
322,0
327,0
330,0
338,0
340,0
343,0
352,0
360,0
362,0
363,0
366,0
371,0
372,0
377,0
378,0
381,0
390,0
391,0
394,0
397,0
399,0
402,0
404,0
421,0
424,0
425,0
427,0
428,0
429,0
431,0
434,0
435,0
438,0
442,0
450,0
453,0
455,0
457,0
458,0
468,0
471,0
475,0
478,0
480,0
483,0
484,0
486,0
494,0
500,0
508,0
513,0
515,0
518,0
523,0
527,0
536,0
543,0
544,0
545,0
546,0
548,0
557,0
559,0
560,0
564,0
567,0
569,0
571,0
573,0
575,0
576,0
579,0
580,0
583,0
584,0
586,0
589,0
593,0
598,0
1,1
6,1
18,1
24,1
28,1
31,1
37,1
40,1
41,1
46,1
47,1
51,1
55,1
64,1
73,1
75,1
79,1
86,1
91,1
92,1
93,1
96,1
103,1
114,1
116,1
119,1
121,1
129,1
132,1
141,1
144,1
147,1
149,1
155,1
156,1
168,1
172,1
174,1
176,1
178,1
182,1
183,1
193,1
197,1
200,1
201,1
211,1
214,1
222,1
225,1
247,1
248,1
252,1
260,1
267,1
273,1
274,1
275,1
276,1
282,1
285,1
286,1
290,1
293,1
295,1
301,1
304,1
309,1
310,1
318,1
324,1
326,1
328,1
329,1
339,1
341,1
349,1
350,1
357,1
369,1
375,1
383,1
384,1
389,1
393,1
396,1
401,1
403,1
405,1
407,1
408,1
409,1
412,1
416,1
417,1
422,1
432,1
433,1
437,1
441,1
443,1
444,1
446,1
447,1
448,1
451,1
459,1
462,1
464,1
465,1
472,1
476,1
487,1
491,1
495,1
497,1
499,1
502,1
506,1
511,1
521,1
529,1
534,1
540,1
541,1
549,1
551,1
554,1
565,1
570,1
574,1
577,1
581,1
582,1
587,1
591,1
592,1
596,1
2,2
3,2
5,2
7,2
10,2
12,2
17,2
20,2
22,2
25,2
35,2
39,2
44,2
45,2
48,2
49,2
52,2
57,2
60,2
61,2
66,2
68,2
71,2
76,2
78,2
84,2
90,2
94,2
95,2
98,2
104,2
106,2
113,2
118,2
122,2
125,2
127,2
128,2
138,2
145,2
148,2
150,2
154,2
157,2
164,2
170,2
171,2
179,2
184,2
186,2
189,2
192,2
195,2
202,2
203,2
205,2
210,2
212,2
215,2
216,2
217,2
220,2
221,2
226,2
230,2
231,2
232,2
233,2
234,2
237,2
250,2
251,2
256,2
257,2
262,2
263,2
272,2
278,2
279,2
280,2
284,2
297,2
305,2
306,2
312,2
316,2
319,2
325,2
332,2
334,2
335,2
342,2
344,2
345,2
346,2
347,2
348,2
353,2
354,2
355,2
356,2
364,2
365,2
368,2
370,2
373,2
374,2
379,2
380,2
382,2
385,2
386,2
398,2
406,2
410,2
413,2
414,2
418,2
419,2
420,2
426,2
436,2
440,2
445,2
449,2
452,2
454,2
460,2
461,2
470,2
473,2
474,2
477,2
479,2
481,2
496,2
498,2
505,2
516,2
517,2
519,2
524,2
528,2
530,2
532,2
535,2
550,2
553,2
555,2
563,2
566,2
568,2
572,2
578,2
585,2
590,2
594,2
599,2
9,3
11,3
13,3
15,3
21,3
27,3
30,3
32,3
33,3
36,3
38,3
42,3
50,3
53,3
56,3
58,3
59,3
62,3
63,3
65,3
67,3
69,3
70,3
72,3
81,3
82,3
85,3
87,3
88,3
97,3
100,3
101,3
102,3
105,3
107,3
108,3
109,3
110,3
111,3
112,3
115,3
120,3
123,3
124,3
130,3
131,3
135,3
139,3
142,3
143,3
146,3
151,3
160,3
161,3
162,3
165,3
177,3
181,3
188,3
191,3
198,3
199,3
204,3
206,3
207,3
208,3
213,3
223,3
224,3
228,3
235,3
238,3
239,3
240,3
245,3
246,3
253,3
254,3
264,3
265,3
268,3
269,3
277,3
289,3
291,3
296,3
298,3
300,3
308,3
313,3
315,3
317,3
320,3
323,3
331,3
333,3
336,3
337,3
351,3
358,3
359,3
361,3
367,3
376,3
387,3
388,3
392,3
395,3
400,3
411,3
415,3
423,3
430,3
439,3
456,3
463,3
466,3
467,3
469,3
482,3
485,3
488,3
489,3
490,3
492,3
493,3
501,3
503,3
504,3
507,3
509,3
510,3
512,3
514,3
520,3
522,3
525,3
526,3
531,3
533,3
537,3
538,3
539,3
542,3
547,3
552,3
556,3
558,3
561,3
562,3
588,3
595,3
597,3
600,3
